f,g,key norm,h,k1 (non-ternary),k1-norm,k2 (ternary),k2-norm,beta1,beta2,total time (seconds)
"0, 1, -1, 1, 0, 1, -1, -1, 1, 1, -1, 0, 1, -1, 0, 0, -1, 0, -1, 1, 0, 0, 1, -1, -1, -1, 0, 0, -1, 0, 1, 0, -1, 0, 0, 0, 0, 1, -1, 1, 1, 1, 1, -1, 1, -1, -1, 1, -1, 0, 0, 1, 1, -1, 1, 0, -1, 1, -1, 0, 1","0, -1, 0, -1, 1, -1, 0, -1, 0, -1, -1, 0, 1, -1, 1, -1, 0, 0, 0, -1, 0, 1, 0, -1, -1, 0, -1, 1, 1, -1, 0, -1, 1, 1, 1, 1, 0, 1, -1, 1, 0, 0, 1, 0, 0, 0, -1, 1, 1, 1, -1, 1, 1, 0, 0, 1, -1, 1, 0, -1, -1",9.0,"504, 60, 71, 91, 474, 166, 430, 350, 368, 83, 115, 7, 24, 468, 102, 289, 102, 35, 193, 76, 117, 346, 448, 363, 425, 136, 27, 504, 451, 468, 8, 101, 182, 404, 436, 2, 138, 320, 278, 265, 186, 79, 171, 324, 328, 97, 304, 5, 401, 15, 462, 261, 439, 174, 158, 89, 225, 442, 339, 408, 2","-2, 0, -1, 1, -3, 1, -3, 1, -2, -1, -4, 1, 0, 3, 1, 2, -1, -1, -1, 2, -2, 2, 0, 0, -3, -5, -3, 0, 3, 1, -4, 1, -1, 4, 0, 2, 1, 2, 0, 3, 0, 0, 2, 0, 0, -1, -1, 0, 3, 2, 0, -3, 2, 0, 4, -1, -1, 0, 0, 1, -1, 1, 4, 1, 1, 1, 2, 1, -1, 2, -4, 2, 0, -3, -1, -1, 1, -2, -1, 0, -1, 1, 1, -2, 0, -2, -3, 1, 0, 2, -1, 2, 0, -1, -2, 0, -3, 6, 2, -1, 1, 2, 3, 0, -2, -2, -1, 1, 0, -2, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",20.37154878746336,"-1, -1, 0, 0, -1, 1, -1, 0, 1, 1, 0, 1, 0, 1, -1, 1, 0, 1, 0, 1, 1, 0, -1, 1, -1, 1, 0, 0, 0, 1, 0, -1, 0, 1, 1, 0, 1, -1, -1, 1, 0, 1, -1, -1, -1, -1, 0, -1, 1, -1, 0, 0, -1, 0, 0, 0, 1, -1, -1, -1, 1, -1, -1, 1, -1, 0, 1, -1, 1, 0, -1, 0, -1, 1, -1, 0, -1, 1, 1, -1, -1, 1, 0, -1, 1, 0, 0, 1, 0, 1, -1, 0, 0, -1, 1, 1, 1, 0, 0, 1, 0, -1, 0, 1, 0, 0, 0, 0, -1, 1, -1, -1, -1, -1, 1, -1, 1, 1, -1, 1, 0, 0",9.0,2,3,0.9773824214935303
"0, -1, -1, 1, -1, 1, 0, 0, -1, 1, 0, -1, 0, 0, 0, -1, -1, -1, -1, 1, 0, 1, 0, 1, 0, -1, 0, -1, 1, 0, 1, -1, -1, 0, 1, 0, 0, -1, 1, -1, 1, 1, -1, -1, 1, 0, 1, 1, 1, 0, -1, -1, -1, 0, 1, 1, 1, 1, 1, 0, 0","0, 1, -1, 1, 0, 0, -1, 0, -1, 0, 1, 1, 0, -1, -1, 0, 1, 0, 0, -1, -1, -1, -1, -1, -1, 1, 0, -1, -1, 1, 1, 0, 1, -1, 0, 1, 1, 0, 1, -1, 0, 1, 1, 0, -1, 1, 1, 1, 0, -1, 0, 0, -1, 1, 1, -1, 0, -1, 0, 1, 0",9.0,"259, 309, 354, 199, 22, 223, 217, 506, 451, 62, 369, 485, 124, 181, 384, 226, 208, 509, 12, 468, 208, 36, 65, 110, 293, 430, 428, 348, 2, 424, 267, 419, 21, 83, 78, 195, 441, 467, 111, 508, 112, 353, 110, 280, 472, 179, 491, 343, 139, 159, 490, 132, 210, 400, 272, 398, 260, 313, 430, 163, 176","-1, 1, -1, 0, 0, 1, 0, 1, 0, -1, -1, 0, 1, 1, 0, -1, 0, 0, 1, 1, 1, 1, 1, 1, -1, 0, 1, 1, -1, -1, 0, -1, 1, 0, -1, -1, 0, -1, 1, 0, -1, -1, 0, 1, -1, -1, -1, 0, 1, 0, 0, 1, -1, -1, 1, 0, 1, 0, -1, 0, 0, 1, 1, -1, 1, -1, 0, 0, 1, -1, 0, 1, 0, 0, 0, 1, 1, 1, 1, -1, 0, -1, 0, -1, 0, 1, 0, 1, -1, 0, -1, 1, 1, 0, -1, 0, 0, 1, -1, 1, -1, -1, 1, 1, -1, 0, -1, -1, -1, 0, 1, 1, 1, 0, -1, -1, -1, -1, -1, 0, 0, 0",9.0,"-1, 1, -1, 0, 0, 1, 0, 1, 0, -1, -1, 0, 1, 1, 0, -1, 0, 0, 1, 1, 1, 1, 1, 1, -1, 0, 1, 1, -1, -1, 0, -1, 1, 0, -1, -1, 0, -1, 1, 0, -1, -1, 0, 1, -1, -1, -1, 0, 1, 0, 0, 1, -1, -1, 1, 0, 1, 0, -1, 0, 0, 1, 1, -1, 1, -1, 0, 0, 1, -1, 0, 1, 0, 0, 0, 1, 1, 1, 1, -1, 0, -1, 0, -1, 0, 1, 0, 1, -1, 0, -1, 1, 1, 0, -1, 0, 0, 1, -1, 1, -1, -1, 1, 1, -1, 0, -1, -1, -1, 0, 1, 1, 1, 0, -1, -1, -1, -1, -1, 0, 0, 0",9.0,2,2,0.7683591842651367
"-1, 1, -1, 1, -1, 0, 0, -1, 0, 0, 0, -1, 1, -1, 1, -1, 0, 1, -1, -1, 1, 1, 1, -1, 0, 1, 1, 0, 0, 1, -1, 0, -1, 0, 1, 1, 1, -1, 0, -1, -1, 1, -1, 1, -1, 1, 0, -1, 1, -1, 1, 0, 0, -1, 0, 1, 1, 0, 0, 0, 0","0, -1, 1, -1, 0, 0, 0, 1, -1, -1, 0, 1, 1, 1, -1, -1, 0, -1, -1, 1, -1, 0, 0, 0, -1, 1, 1, -1, 1, -1, 1, -1, -1, 1, -1, 0, 0, 1, 0, 1, -1, 0, 1, 0, 0, -1, -1, 0, 1, 0, 1, 0, 1, 0, 0, -1, 1, 1, -1, 0, 1",9.0,"144, 127, 52, 366, 157, 282, 232, 275, 304, 276, 330, 489, 339, 194, 432, 8, 85, 108, 378, 276, 76, 187, 136, 51, 429, 511, 253, 117, 212, 289, 20, 295, 457, 143, 334, 229, 413, 7, 356, 411, 316, 62, 17, 14, 493, 434, 319, 9, 94, 170, 503, 248, 155, 54, 4, 104, 199, 277, 165, 101, 306","0, -1, 1, -1, 0, 0, 0, 1, -1, -1, 0, 1, 1, 1, -1, -1, 0, -1, -1, 1, -1, 0, 0, 0, -1, 1, 1, -1, 1, -1, 1, -1, -1, 1, -1, 0, 0, 1, 0, 1, -1, 0, 1, 0, 0, -1, -1, 0, 1, 0, 1, 0, 1, 0, 0, -1, 1, 1, -1, 0, 1, -1, 1, -1, 1, -1, 0, 0, -1, 0, 0, 0, -1, 1, -1, 1, -1, 0, 1, -1, -1, 1, 1, 1, -1, 0, 1, 1, 0, 0, 1, -1, 0, -1, 0, 1, 1, 1, -1, 0, -1, -1, 1, -1, 1, -1, 1, 0, -1, 1, -1, 1, 0, 0, -1, 0, 1, 1, 0, 0, 0, 0",9.0,"0, -1, 1, -1, 0, 0, 0, 1, -1, -1, 0, 1, 1, 1, -1, -1, 0, -1, -1, 1, -1, 0, 0, 0, -1, 1, 1, -1, 1, -1, 1, -1, -1, 1, -1, 0, 0, 1, 0, 1, -1, 0, 1, 0, 0, -1, -1, 0, 1, 0, 1, 0, 1, 0, 0, -1, 1, 1, -1, 0, 1, -1, 1, -1, 1, -1, 0, 0, -1, 0, 0, 0, -1, 1, -1, 1, -1, 0, 1, -1, -1, 1, 1, 1, -1, 0, 1, 1, 0, 0, 1, -1, 0, -1, 0, 1, 1, 1, -1, 0, -1, -1, 1, -1, 1, -1, 1, 0, -1, 1, -1, 1, 0, 0, -1, 0, 1, 1, 0, 0, 0, 0",9.0,2,2,0.7446329593658447
"0, -1, 0, 1, -1, -1, -1, 1, 0, -1, 1, 0, 1, 0, 0, -1, 1, 1, 0, -1, -1, -1, 0, 1, -1, 1, 0, -1, 1, 0, 1, 0, 0, -1, 0, 1, 0, 1, -1, 0, 1, 1, -1, -1, 0, 1, -1, 1, -1, -1, -1, 1, 0, 0, 0, 1, 1, 1, -1, 0, 1","1, -1, -1, 0, 0, 1, -1, 0, 0, 1, -1, -1, 0, 0, 1, 0, 1, 0, -1, 1, -1, -1, -1, -1, 0, -1, 0, 1, 1, 1, 1, 1, -1, -1, -1, 0, 0, 0, 1, 1, 0, 1, -1, -1, 1, 0, 0, -1, 0, 0, 0, 0, 0, 1, 1, -1, 1, 1, -1, 1, -1",9.0,"327, 33, 255, 349, 134, 355, 33, 93, 32, 283, 364, 191, 91, 256, 260, 39, 240, 385, 40, 18, 427, 195, 279, 46, 431, 272, 153, 114, 260, 51, 492, 201, 125, 482, 32, 176, 159, 182, 479, 503, 198, 103, 442, 344, 244, 301, 107, 108, 305, 58, 507, 150, 465, 135, 493, 151, 43, 346, 463, 289, 247","0, 1, 0, -1, 1, -1, -1, -1, -1, 0, -1, 0, 1, 1, 1, 1, 1, -1, -1, -1, 0, 0, 0, 1, 1, 0, 1, -1, -1, 1, 0, 0, -1, 0, 0, 0, 0, 0, 1, 1, -1, 1, 1, -1, 1, -1, 1, -1, -1, 0, 0, 1, -1, 0, 0, 1, -1, -1, 0, 0, 1, -1, 1, 1, 0, -1, -1, -1, 0, 1, -1, 1, 0, -1, 1, 0, 1, 0, 0, -1, 0, 1, 0, 1, -1, 0, 1, 1, -1, -1, 0, 1, -1, 1, -1, -1, -1, 1, 0, 0, 0, 1, 1, 1, -1, 0, 1, 0, -1, 0, 1, -1, -1, -1, 1, 0, -1, 1, 0, 1, 0, 0",9.0,"0, 1, 0, -1, 1, -1, -1, -1, -1, 0, -1, 0, 1, 1, 1, 1, 1, -1, -1, -1, 0, 0, 0, 1, 1, 0, 1, -1, -1, 1, 0, 0, -1, 0, 0, 0, 0, 0, 1, 1, -1, 1, 1, -1, 1, -1, 1, -1, -1, 0, 0, 1, -1, 0, 0, 1, -1, -1, 0, 0, 1, -1, 1, 1, 0, -1, -1, -1, 0, 1, -1, 1, 0, -1, 1, 0, 1, 0, 0, -1, 0, 1, 0, 1, -1, 0, 1, 1, -1, -1, 0, 1, -1, 1, -1, -1, -1, 1, 0, 0, 0, 1, 1, 1, -1, 0, 1, 0, -1, 0, 1, -1, -1, -1, 1, 0, -1, 1, 0, 1, 0, 0",9.0,2,2,0.784527063369751
"1, 1, 0, -1, -1, -1, -1, -1, 0, -1, -1, 1, 1, 1, 0, 1, -1, 0, 1, 0, -1, 0, 1, 1, 1, 0, 1, -1, 1, 0, 1, 0, -1, 0, 0, 0, -1, 1, 0, -1, 1, 0, -1, 1, -1, 0, 0, 0, 1, 0, -1, -1, -1, 0, 0, -1, 1, 1, 1, -1, 1","1, 1, 0, -1, -1, 0, -1, -1, -1, 1, 0, 1, 0, 0, -1, 1, 0, 1, 0, -1, 0, 1, 0, 0, 0, 1, 1, -1, -1, 0, 0, 0, 0, 1, 0, 1, -1, -1, 1, 1, -1, 1, 1, 0, 0, -1, 1, -1, -1, 1, -1, 1, 1, -1, -1, 0, -1, 0, -1, 0, 1",9.0,"61, 317, 53, 251, 181, 183, 294, 181, 192, 219, 287, 200, 69, 361, 435, 335, 79, 418, 91, 60, 5, 471, 120, 71, 122, 342, 121, 67, 14, 340, 284, 62, 64, 29, 244, 268, 256, 99, 143, 482, 429, 99, 482, 491, 163, 28, 382, 164, 151, 501, 337, 107, 354, 160, 111, 255, 366, 127, 199, 270, 265","1, 1, -1, -1, 1, -1, -1, 0, 0, 1, -1, 1, 1, -1, 1, -1, -1, 1, 1, 0, 1, 0, 1, 0, -1, -1, -1, 0, 1, 1, 0, 1, 1, 1, -1, 0, -1, 0, 0, 1, -1, 0, -1, 0, 1, 0, -1, 0, 0, 0, -1, -1, 1, 1, 0, 0, 0, 0, -1, 0, -1, 1, -1, 0, 1, -1, 0, 1, -1, 1, 0, 0, 0, -1, 0, 1, 1, 1, 0, 0, 1, -1, -1, -1, 1, -1, -1, -1, 0, 1, 1, 1, 1, 1, 0, 1, 1, -1, -1, -1, 0, -1, 1, 0, -1, 0, 1, 0, -1, -1, -1, 0, -1, 1, -1, 0, -1, 0, 1, 0, 0, 0",9.0,"1, 1, -1, -1, 1, -1, -1, 0, 0, 1, -1, 1, 1, -1, 1, -1, -1, 1, 1, 0, 1, 0, 1, 0, -1, -1, -1, 0, 1, 1, 0, 1, 1, 1, -1, 0, -1, 0, 0, 1, -1, 0, -1, 0, 1, 0, -1, 0, 0, 0, -1, -1, 1, 1, 0, 0, 0, 0, -1, 0, -1, 1, -1, 0, 1, -1, 0, 1, -1, 1, 0, 0, 0, -1, 0, 1, 1, 1, 0, 0, 1, -1, -1, -1, 1, -1, -1, -1, 0, 1, 1, 1, 1, 1, 0, 1, 1, -1, -1, -1, 0, -1, 1, 0, -1, 0, 1, 0, -1, -1, -1, 0, -1, 1, -1, 0, -1, 0, 1, 0, 0, 0",9.0,2,2,0.8088123798370361
"1, 0, 1, 1, -1, 1, -1, 0, 0, 1, 1, 1, -1, 0, 1, 0, -1, 1, 0, -1, 1, 1, -1, 0, -1, -1, -1, 0, -1, 0, 1, 1, 0, 1, 1, -1, 1, 0, 0, 0, -1, 1, -1, 0, 0, 1, 0, -1, -1, 0, -1, 1, -1, -1, 0, 1, -1, 0, -1, 0, 1","1, 0, -1, 0, 0, 1, 1, 0, -1, 1, -1, -1, 0, 0, 1, -1, 1, -1, 1, 1, 1, 1, -1, 1, -1, 0, -1, -1, 1, 0, 0, 1, -1, -1, -1, -1, 0, 0, -1, 0, -1, 0, 1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, -1, 0, -1, -1, 1, 0, -1",9.0,"247, 373, 45, 406, 13, 124, 348, 428, 78, 113, 60, 358, 246, 138, 17, 107, 132, 135, 86, 416, 389, 61, 345, 409, 115, 195, 4, 427, 474, 424, 477, 249, 143, 312, 452, 137, 377, 233, 304, 1, 263, 99, 2, 395, 206, 30, 404, 347, 166, 123, 84, 225, 199, 282, 408, 57, 303, 453, 337, 55, 500","-1, 0, 1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, -1, 0, -1, -1, 1, 0, -1, 1, 0, -1, 0, 0, 1, 1, 0, -1, 1, -1, -1, 0, 0, 1, -1, 1, -1, 1, 1, 1, 1, -1, 1, -1, 0, -1, -1, 1, 0, 0, 1, -1, -1, -1, -1, 0, 0, -1, 0, -1, 1, -1, 0, 0, 1, 0, -1, -1, 0, -1, 1, -1, -1, 0, 1, -1, 0, -1, 0, 1, 1, 0, 1, 1, -1, 1, -1, 0, 0, 1, 1, 1, -1, 0, 1, 0, -1, 1, 0, -1, 1, 1, -1, 0, -1, -1, -1, 0, -1, 0, 1, 1, 0, 1, 1, -1, 1, 0, 0, 0",9.0,"-1, 0, 1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, -1, 0, -1, -1, 1, 0, -1, 1, 0, -1, 0, 0, 1, 1, 0, -1, 1, -1, -1, 0, 0, 1, -1, 1, -1, 1, 1, 1, 1, -1, 1, -1, 0, -1, -1, 1, 0, 0, 1, -1, -1, -1, -1, 0, 0, -1, 0, -1, 1, -1, 0, 0, 1, 0, -1, -1, 0, -1, 1, -1, -1, 0, 1, -1, 0, -1, 0, 1, 1, 0, 1, 1, -1, 1, -1, 0, 0, 1, 1, 1, -1, 0, 1, 0, -1, 1, 0, -1, 1, 1, -1, 0, -1, -1, -1, 0, -1, 0, 1, 1, 0, 1, 1, -1, 1, 0, 0, 0",9.0,2,2,0.7948291301727295
"1, -1, -1, -1, 1, -1, 1, 0, 1, -1, -1, 0, 1, 1, 1, 1, -1, 0, -1, 1, 0, 1, -1, 0, -1, 0, 0, -1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, -1, 0, 0, 1, 0, 1, 1, 1, 0, -1, -1, -1, 0, -1, -1, 1, -1, -1, -1, 0, 1, 1, 0","0, 1, -1, 1, 0, 0, -1, 1, 1, 0, -1, 0, 1, 1, 1, -1, -1, 1, 0, -1, 0, 0, 0, -1, -1, 0, 0, -1, 0, -1, 0, 0, -1, 1, -1, 1, -1, 0, 1, 1, 1, -1, -1, -1, -1, 1, 0, 0, 1, 0, 1, -1, 0, 1, -1, -1, 1, 0, 1, 0, 1",9.0,"121, 285, 354, 426, 442, 146, 149, 18, 238, 102, 458, 14, 15, 310, 189, 91, 310, 88, 97, 190, 139, 147, 101, 84, 352, 39, 340, 88, 269, 15, 52, 307, 487, 248, 500, 2, 231, 290, 35, 373, 206, 197, 470, 276, 287, 303, 424, 176, 32, 292, 458, 288, 215, 53, 121, 247, 245, 21, 183, 159, 5","-1, 0, 1, 1, 1, -1, -1, -1, -1, 1, 0, 0, 1, 0, 1, -1, 0, 1, -1, -1, 1, 0, 1, 0, 1, 0, 1, -1, 1, 0, 0, -1, 1, 1, 0, -1, 0, 1, 1, 1, -1, -1, 1, 0, -1, 0, 0, 0, -1, -1, 0, 0, -1, 0, -1, 0, 0, -1, 1, -1, 1, 1, 1, -1, 0, 0, 1, 0, 1, 1, 1, 0, -1, -1, -1, 0, -1, -1, 1, -1, -1, -1, 0, 1, 1, 0, 1, -1, -1, -1, 1, -1, 1, 0, 1, -1, -1, 0, 1, 1, 1, 1, -1, 0, -1, 1, 0, 1, -1, 0, -1, 0, 0, -1, 1, 1, 0, 0, 0, 0, 0, 0",9.0,"-1, 0, 1, 1, 1, -1, -1, -1, -1, 1, 0, 0, 1, 0, 1, -1, 0, 1, -1, -1, 1, 0, 1, 0, 1, 0, 1, -1, 1, 0, 0, -1, 1, 1, 0, -1, 0, 1, 1, 1, -1, -1, 1, 0, -1, 0, 0, 0, -1, -1, 0, 0, -1, 0, -1, 0, 0, -1, 1, -1, 1, 1, 1, -1, 0, 0, 1, 0, 1, 1, 1, 0, -1, -1, -1, 0, -1, -1, 1, -1, -1, -1, 0, 1, 1, 0, 1, -1, -1, -1, 1, -1, 1, 0, 1, -1, -1, 0, 1, 1, 1, 1, -1, 0, -1, 1, 0, 1, -1, 0, -1, 0, 0, -1, 1, 1, 0, 0, 0, 0, 0, 0",9.0,2,2,0.7028453350067139
"-1, -1, -1, 1, 0, 1, -1, 1, 0, 1, 0, -1, 0, -1, -1, 1, 0, 0, 0, 1, 1, -1, 1, -1, 0, -1, 0, -1, -1, 1, 0, 1, 1, 0, 1, -1, 1, 1, 0, 0, -1, -1, 0, 1, 0, -1, 0, 0, -1, 1, -1, -1, 0, -1, 1, 1, 1, 1, 0, 1, 0","-1, -1, 0, -1, 1, 1, -1, 1, 1, 0, -1, -1, 0, -1, 0, 0, 1, 0, -1, -1, 1, -1, 0, 0, 1, 0, -1, 0, 1, 0, -1, -1, -1, 0, 0, 1, 1, -1, -1, 0, 0, -1, 0, 1, 0, 1, -1, -1, -1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0, 1",9.0,"302, 269, 26, 124, 326, 204, 4, 246, 321, 76, 75, 131, 340, 418, 224, 36, 122, 117, 307, 236, 458, 114, 85, 160, 293, 171, 311, 316, 396, 388, 490, 379, 81, 286, 97, 336, 43, 24, 447, 388, 487, 58, 86, 286, 416, 128, 277, 62, 272, 101, 238, 39, 287, 350, 164, 362, 507, 485, 75, 58, 431","1, 1, -1, -1, -1, -1, -1, -1, 0, 0, -1, 0, 0, -1, 1, 1, 0, 1, -1, -1, 1, -1, -1, 0, 1, 1, 0, 1, 0, 0, -1, 0, 1, 1, -1, 1, 0, 0, -1, 0, 1, 0, -1, 0, 1, 1, 1, 0, 0, -1, -1, 1, 1, 0, 0, 1, 0, -1, 0, -1, 1, 0, 1, -1, 1, 1, 0, 1, -1, -1, -1, -1, 0, -1, 0, 1, 1, 1, -1, 0, -1, 1, -1, 0, -1, 0, 1, 0, 1, 1, -1, 0, 0, 0, -1, -1, 1, -1, 1, 0, 1, 0, 1, 1, -1, 0, -1, -1, 0, -1, 1, -1, -1, 0, 0, 1, 1, 0, -1, 0, 1, 0",9.0,"1, 1, -1, -1, -1, -1, -1, -1, 0, 0, -1, 0, 0, -1, 1, 1, 0, 1, -1, -1, 1, -1, -1, 0, 1, 1, 0, 1, 0, 0, -1, 0, 1, 1, -1, 1, 0, 0, -1, 0, 1, 0, -1, 0, 1, 1, 1, 0, 0, -1, -1, 1, 1, 0, 0, 1, 0, -1, 0, -1, 1, 0, 1, -1, 1, 1, 0, 1, -1, -1, -1, -1, 0, -1, 0, 1, 1, 1, -1, 0, -1, 1, -1, 0, -1, 0, 1, 0, 1, 1, -1, 0, 0, 0, -1, -1, 1, -1, 1, 0, 1, 0, 1, 1, -1, 0, -1, -1, 0, -1, 1, -1, -1, 0, 0, 1, 1, 0, -1, 0, 1, 0",9.0,2,2,0.7338480949401855
"-1, -1, 1, 0, 0, 0, 1, 1, 0, 1, 0, -1, -1, 1, -1, 1, 1, -1, -1, 0, 0, -1, 0, -1, -1, 1, 0, 1, 0, 0, 0, 1, 1, -1, -1, -1, 1, -1, 0, -1, -1, -1, 1, -1, 0, -1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 0, -1, 0, 1, 0","0, -1, -1, -1, 0, 0, 1, -1, 1, -1, -1, -1, 1, 0, -1, 1, 1, -1, 0, 0, 1, -1, 1, 1, -1, 1, 0, 0, 0, -1, -1, 0, -1, 1, -1, 0, 0, 0, 0, 1, 0, -1, 1, 1, -1, 1, 1, 1, 0, 1, 1, 1, 0, -1, 0, -1, 0, -1, 0, 0, 1",9.0,"177, 472, 51, 2, 24, 182, 238, 273, 242, 336, 324, 434, 302, 378, 465, 362, 466, 109, 479, 305, 284, 321, 483, 446, 188, 179, 82, 14, 410, 87, 420, 115, 273, 294, 179, 178, 231, 2, 374, 55, 428, 229, 151, 299, 179, 415, 51, 70, 359, 25, 189, 447, 347, 285, 402, 128, 367, 92, 105, 185, 371","-1, 1, -1, 1, 1, 1, -1, 0, 1, -1, -1, 1, 0, 0, -1, 1, -1, -1, 1, -1, 0, 0, 0, 1, 1, 0, 1, -1, 1, 0, 0, 0, 0, -1, 0, 1, -1, -1, 1, -1, -1, -1, 0, -1, -1, -1, 0, 1, 0, 1, 0, 1, 0, 0, -1, 0, 1, 1, 1, 0, 0, -1, -1, 0, -1, 0, 1, 1, -1, 1, -1, -1, 1, 1, 0, 0, 1, 0, 1, 1, -1, 0, -1, 0, 0, 0, -1, -1, 1, 1, 1, -1, 1, 0, 1, 1, 1, -1, 1, 0, 1, -1, -1, -1, -1, -1, 0, -1, 0, -1, 0, 0, 1, 0, -1, 0, 1, 1, -1, 0, 0, 0",9.0,"-1, 1, -1, 1, 1, 1, -1, 0, 1, -1, -1, 1, 0, 0, -1, 1, -1, -1, 1, -1, 0, 0, 0, 1, 1, 0, 1, -1, 1, 0, 0, 0, 0, -1, 0, 1, -1, -1, 1, -1, -1, -1, 0, -1, -1, -1, 0, 1, 0, 1, 0, 1, 0, 0, -1, 0, 1, 1, 1, 0, 0, -1, -1, 0, -1, 0, 1, 1, -1, 1, -1, -1, 1, 1, 0, 0, 1, 0, 1, 1, -1, 0, -1, 0, 0, 0, -1, -1, 1, 1, 1, -1, 1, 0, 1, 1, 1, -1, 1, 0, 1, -1, -1, -1, -1, -1, 0, -1, 0, -1, 0, 0, 1, 0, -1, 0, 1, 1, -1, 0, 0, 0",9.0,2,2,0.7571909427642822
"1, 1, 0, 0, -1, 0, 1, 0, -1, -1, -1, 0, 1, 1, 0, 0, -1, 0, 0, 0, 1, -1, -1, 1, 1, -1, 0, 1, 0, 1, 0, -1, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, -1, -1, -1, 0, 1, -1, -1, -1, 1, 0, -1, 0, -1, 1, 1, -1, -1, 0, -1","-1, -1, 1, 0, 1, 0, -1, 1, 1, 0, 0, 1, 0, 1, -1, -1, 0, 0, 1, 0, 0, 0, -1, 0, 0, 0, 1, 1, -1, 1, 1, 0, -1, -1, 0, 1, -1, 1, -1, 1, 0, 1, -1, -1, -1, -1, 1, 1, -1, 0, 0, -1, 0, 1, 0, -1, 0, 1, -1, -1, 1",9.0,"257, 397, 407, 249, 161, 8, 69, 196, 129, 225, 134, 12, 490, 261, 250, 272, 71, 89, 166, 455, 30, 121, 133, 168, 411, 110, 33, 180, 120, 467, 214, 375, 378, 431, 291, 494, 344, 389, 56, 484, 404, 176, 94, 167, 301, 145, 33, 95, 432, 74, 323, 440, 68, 46, 190, 319, 379, 412, 4, 256, 451","0, 0, 1, 0, 0, 0, -1, -1, 1, -1, -1, 0, 1, 1, 0, -1, 1, -1, 1, -1, 0, -1, 1, 1, 1, 1, -1, -1, 1, 0, 0, 1, 0, -1, 0, 1, 0, -1, 1, 1, -1, 1, 1, -1, 0, -1, 0, 1, -1, -1, 0, 0, -1, 0, -1, 1, 1, 0, 0, -1, 0, -1, 1, 1, -1, -1, 1, 0, -1, 0, -1, 0, 1, 0, 0, -1, -1, -1, 0, -1, -1, -1, -1, 1, 1, 1, 0, -1, 1, 1, 1, -1, 0, 1, 0, 1, -1, -1, 1, 1, 0, 1, -1, -1, 0, 0, 1, 0, -1, 0, 1, 1, 1, 0, -1, -1, 0, 0, 1, 0, 0, 0",9.0,"0, 0, 1, 0, 0, 0, -1, -1, 1, -1, -1, 0, 1, 1, 0, -1, 1, -1, 1, -1, 0, -1, 1, 1, 1, 1, -1, -1, 1, 0, 0, 1, 0, -1, 0, 1, 0, -1, 1, 1, -1, 1, 1, -1, 0, -1, 0, 1, -1, -1, 0, 0, -1, 0, -1, 1, 1, 0, 0, -1, 0, -1, 1, 1, -1, -1, 1, 0, -1, 0, -1, 0, 1, 0, 0, -1, -1, -1, 0, -1, -1, -1, -1, 1, 1, 1, 0, -1, 1, 1, 1, -1, 0, 1, 0, 1, -1, -1, 1, 1, 0, 1, -1, -1, 0, 0, 1, 0, -1, 0, 1, 1, 1, 0, -1, -1, 0, 0, 1, 0, 0, 0",9.0,2,2,0.7257435321807861
